时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2020-01-01,-10,1,43,东北风,1,强,62
2020-01-02,-9,3,55,西北风,1,最弱,100
2020-01-03,-8,6,65,北风,1,强,106
2020-01-04,-5,8,62,北风,2,强,71
2020-01-05,-5,3,97,东北风,1,最弱,67
2020-01-06,-2,3,62,北风,1,强,67
2020-01-07,-2,2,30,北风,3,最弱,23
2020-01-08,-5,5,66,北风,2,强,39
2020-01-09,-6,5,56,北风,1,强,112
2020-01-10,-6,6,34,北风,2,强,35
2020-01-11,-5,1,43,北风,2,最弱,30
2020-01-12,-7,3,32,北风,1,强,21
2020-01-13,-7,2,36,北风,3,强,21
2020-01-14,-8,1,43,北风,2,强,37
2020-01-15,-9,3,50,西北风,1,强,121
2020-01-16,-7,2,67,北风,2,最弱,120
2020-01-17,-7,3,59,西北风,1,最弱,221
2020-01-18,-7,3,27,西风,1,最弱,41
2020-01-19,-4,6,31,西北风,3,强,29
2020-01-20,-4,5,30,西北风,2,强,29
2020-01-21,-7,5,66,东北风,1,最弱,70
2020-01-22,-5,6,71,北风,1,强,125
2020-01-23,-3,8,79,北风,2,强,130
2020-01-24,-6,3,70,南风,2,最弱,160
2020-01-25,-6,5,75,北风,1,强,260
2020-01-26,-5,5,78,东北风,1,中等,293
2020-01-27,-4,4,69,北风,1,最弱,232
2020-01-28,-4,5,68,东北风,1,最弱,257
2020-01-29,-4,7,64,北风,1,中等,65
2020-01-30,-4,6,60,西南风,1,强,70
2020-01-31,-6,7,23,西北风,2,强,23
2020-02-01,-5,5,60,北风,2,强,22
2020-02-02,-3,3,37,西风,2,最弱,20
2020-02-03,-7,3,60,西南风,2,强,64
2020-02-04,-6,1,35,东北风,3,强,13
2020-02-05,-8,-2,90,东风,2,最弱,23
2020-02-06,-6,-1,86,东风,2,最弱,71
2020-02-07,-9,3,88,北风,1,中等,115
2020-02-08,-6,6,76,北风,2,强,136
2020-02-09,-6,10,89,北风,1,强,213
2020-02-10,-4,10,89,东北风,1,强,228
2020-02-11,-4,11,93,北风,1,弱,206
2020-02-12,-2,11,95,北风,1,强,248
2020-02-13,-2,9,96,东北风,2,中等,267
2020-02-14,-2,0,47,东北风,3,最弱,15
2020-02-15,-7,0,36,西北风,4,强,22
2020-02-16,-4,4,36,北风,4,强,21
2020-02-17,-5,8,66,西北风,3,强,19
2020-02-18,-5,10,74,东北风,2,强,46
2020-02-19,-4,9,87,东风,2,强,165
2020-02-20,-4,6,90,东南风,1,最弱,157
2020-02-21,-3,11,32,西北风,2,最弱,65
2020-02-22,-2,10,26,西风,3,强,24
2020-02-23,-3,11,65,西北风,1,强,85
2020-02-24,0,10,35,东北风,2,最弱,57
2020-02-25,3,9,50,南风,2,最弱,67
2020-02-26,-2,9,53,南风,2,强,57
2020-02-27,-2,5,48,南风,3,最弱,47
2020-02-28,-3,9,81,南风,2,强,127
2020-02-29,0,5,1,东风,2,最弱,76
2020-03-01,0,11,58,北风,3,强,15
2020-03-02,-3,11,1,南风,2,强,75
2020-03-03,-1,8,25,西北风,3,强,22
2020-03-04,-3,7,32,北风,2,强,33
2020-03-05,-2,10,55,南风,3,强,77
2020-03-06,-2,10,83,北风,2,中等,140
2020-03-07,1,14,77,东北风,2,强,157
2020-03-08,1,10,93,东北风,2,最弱,125
2020-03-09,5,11,83,东南风,2,最弱,44
2020-03-10,-1,12,49,西北风,3,强,21
2020-03-11,-4,14,52,南风,1,强,73
2020-03-12,1,14,24,东北风,3,最弱,23
2020-03-13,-2,10,37,西北风,3,强,55
2020-03-14,-1,15,24,西北风,3,强,51
2020-03-15,3,17,65,东北风,2,强,56
2020-03-16,0,15,63,东南风,2,最弱,73
2020-03-17,3,20,30,西风,2,强,141
2020-03-18,3,23,29,西北风,3,最弱,34
2020-03-19,5,17,28,西北风,3,强,53
2020-03-20,4,24,27,西北风,2,弱,72
2020-03-21,7,18,37,东南风,2,中等,63
2020-03-22,3,22,52,西南风,2,强,60
2020-03-23,7,23,41,东风,2,强,32
2020-03-24,6,17,57,东南风,2,强,109
2020-03-25,5,22,51,东南风,2,强,109
2020-03-26,6,12,28,北风,4,最弱,23
2020-03-27,2,13,23,西北风,3,强,23
2020-03-28,-1,14,26,西南风,2,强,40
2020-03-29,2,17,47,南风,2,强,96
2020-03-30,5,18,56,西南风,3,最弱,89
2020-03-31,7,20,61,东风,3,最弱,60
2020-04-01,7,15,51,东北风,3,最弱,27
2020-04-02,3,20,35,西风,2,强,51
2020-04-03,7,24,35,西北风,2,强,53
2020-04-04,9,18,36,东南风,3,强,78
2020-04-05,4,19,29,南风,2,强,63
2020-04-06,6,23,63,东南风,2,弱,111
2020-04-07,9,18,39,东南风,2,最弱,57
2020-04-08,5,17,46,东南风,2,强,68
2020-04-09,7,12,56,南风,2,最弱,54
2020-04-10,4,17,45,西风,2,中等,54
2020-04-11,6,22,17,北风,2,强,38
2020-04-12,10,23,40,北风,3,强,92
2020-04-13,6,26,35,南风,2,强,67
2020-04-14,10,26,37,南风,2,最弱,75
2020-04-15,11,26,92,南风,3,最弱,99
2020-04-16,11,21,71,西北风,3,强,70
2020-04-17,8,22,55,北风,3,强,38
2020-04-18,13,23,40,东南风,2,最弱,51
2020-04-19,13,22,39,西南风,3,弱,47
2020-04-20,7,17,29,西北风,4,强,31
2020-04-21,4,14,22,西北风,4,强,53
2020-04-22,4,16,18,西北风,4,强,28
2020-04-23,6,19,15,西北风,3,强,29
2020-04-24,6,28,17,西风,3,强,185
2020-04-25,12,22,35,北风,3,强,32
2020-04-26,9,22,52,东北风,2,强,36
2020-04-27,7,24,33,南风,2,强,61
2020-04-28,11,29,44,西南风,2,强,114
2020-04-29,16,31,49,南风,2,强,127
2020-04-30,15,33,63,南风,2,强,141
2020-05-01,17,35,56,南风,2,强,160
2020-05-02,21,33,72,南风,3,强,105
2020-05-03,17,31,92,东风,3,强,101
2020-05-04,13,20,89,南风,3,最弱,36
2020-05-05,10,26,83,南风,2,强,114
2020-05-06,13,25,46,东南风,2,弱,118
2020-05-07,13,19,92,东南风,2,最弱,132
2020-05-08,13,17,75,东风,2,最弱,39
2020-05-09,11,20,93,西南风,2,最弱,66
2020-05-10,13,25,28,西北风,3,强,30
2020-05-11,14,28,28,西北风,4,强,395
2020-05-12,13,28,41,西风,3,强,106
2020-05-13,12,30,53,南风,2,强,134
2020-05-14,18,30,61,南风,3,强,103
2020-05-15,15,25,66,东南风,2,最弱,41
2020-05-16,15,28,54,东风,2,最弱,71
2020-05-17,13,23,28,西北风,2,弱,27
2020-05-18,14,27,22,北风,3,强,89
2020-05-19,15,29,45,西风,2,强,52
2020-05-20,15,29,60,东北风,2,中等,115
2020-05-21,16,23,93,东风,2,最弱,101
2020-05-22,15,30,38,西北风,3,强,50
2020-05-23,16,27,41,北风,3,中等,30
2020-05-24,16,29,36,西北风,2,强,40
2020-05-25,17,25,71,北风,2,最弱,39
2020-05-26,13,28,35,西风,2,强,42
2020-05-27,16,29,59,西北风,3,强,65
2020-05-28,16,32,58,南风,3,中等,105
2020-05-29,17,33,68,东风,2,最弱,121
2020-05-30,19,30,86,南风,3,中等,74
2020-05-31,17,28,52,西北风,3,强,34
2020-06-01,16,30,82,西南风,3,强,102
2020-06-02,16,32,30,西南风,2,强,77
2020-06-03,21,33,30,西北风,3,强,136
2020-06-04,20,29,45,东风,3,强,67
2020-06-05,18,29,45,东南风,2,强,29
2020-06-06,18,28,40,东南风,2,强,34
2020-06-07,20,35,71,南风,2,中等,119
2020-06-08,25,38,41,西南风,3,最弱,83
2020-06-09,23,30,75,东风,2,最弱,84
2020-06-10,21,33,54,西北风,2,强,78
2020-06-11,21,29,71,北风,2,最弱,47
2020-06-12,22,32,51,南风,2,最弱,113
