时间,最低温度/℃,最高温度/℃,湿度/%,风向,风力,紫外线,空气质量
时间,最低温度/℃,最高温度/℃,湿度/%,风向,风力,紫外线,空气质量
时间,最低温度/℃,最高温度/℃,湿度/%,风向,风力,紫外线,空气质量
时间,最低温度/℃,最高温度/℃,湿度/%,风向,风力,紫外线,空气质量
2025年05月06日,19,28,49,西南风,3,弱,48
2025年05月05日,17,28,39,东南风,3,最弱,44
2025年05月04日,17,28,36,东北风,3,强,37
2025年05月03日,19,31,56,北风,3,弱,47
2025年05月02日,18,30,42,南风,3,很弱,优
2025年05月01日,18,31,41,西北风,3,很弱,优
2025年04月30日,15,31,41,南风,3,很弱,良
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2025年05月06日,19,28,49,西南风,3,弱,48
2025年05月05日,17,28,39,东南风,3,最弱,44
2025年05月04日,17,28,36,东北风,3,强,37
2025年05月03日,19,31,56,北风,3,弱,47
2025年05月02日,18,30,42,南风,3,很弱,优
2025年05月01日,18,31,41,西北风,3,很弱,优
2025年04月30日,15,29,42,南风,3,很弱,良
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2025年05月06日,14,23,51,东风,3,中等,46
2025年05月05日,14,23,46,北风,3,最弱,49
2025年05月04日,15,24,29,东南风,2,最弱,58
2025年05月03日,16,26,19,西北风,3,弱,33
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2025年05月06日,14,23,51,东风,3,中等,46
2025年05月05日,14,23,46,北风,3,最弱,49
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2025年05月06日,14,23,51,东风,3,中等,46
2025年05月05日,14,23,46,北风,3,最弱,49
2025年05月04日,15,24,29,东南风,2,最弱,58
2025年05月03日,16,26,19,西北风,3,弱,33
2025年05月02日,16,25,43,东北风,3,无,优
2025年05月01日,17,25,31,北风,3,强,优
2025年04月30日,19,28,30,北风,3,无,优
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2025年05月06日,14,23,51,东风,3,中等,46
