时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2022/1/1,-7,6,26,东北风,1,强,16
2022/1/2,-7,2,33,南风,1,强,40
2022/1/3,-7,6,41,东北风,2,强,51
2022/1/4,-6,3,66,西南风,1,强,74
2022/1/5,-6,2,60,西风,1,强,98
2022/1/6,-7,6,54,东北风,1,强,122
2022/1/7,-10,3,62,东风,1,强,107
2022/1/8,-5,8,35,东北风,1,中等,32
2022/1/9,-13,0,64,西北风,1,最弱,30
2022/1/10,6,14,64,北风,1,弱,65
2022/1/11,-7,0,45,东北风,1,强,61
2022/1/12,-7,2,20,西风,2,最弱,21
2022/1/13,-6,3,26,南风,2,强,36
2022/1/14,-6,2,43,西南风,1,强,149
2022/1/15,-8,3,29,东北风,2,强,4
2022/1/16,-9,0,32,南风,1,强,30
2022/1/17,-8,6,35,南风,2,强,56
2022/1/18,-9,3,41,西北风,2,中等,70
2022/1/19,-7,-2,59,南风,2,强,58
2022/1/20,-5,-2,59,东南风,1,最弱,72
2022/1/21,-4,0,86,东南风,2,最弱,114
2022/1/22,-4,1,86,北风,1,最弱,135
2022/1/23,-4,1,59,东南风,2,强,168
2022/1/24,-5,7,76,北风,1,中等,195
2022/1/25,-4,5,40,北风,4,最弱,7
2022/1/26,-5,3,58,北风,1,最弱,26
2022/1/27,-5,3,43,西北风,3,强,14
2022/1/28,-2,4,96,南风,1,最弱,109
2022/1/29,-9,-1,42,北风,1,强,42
2022/1/30,-3,3,84,西北风,2,强,247
2022/1/31,-5,3,28,西北风,4,强,29
2022/2/1,-7,2,28,西南风,2,强,18
2022/2/2,-7,4,55,西南风,2,最弱,70
2022/2/3,-6,3,29,西北风,3,弱,23
2022/2/4,-6,0,37,西北风,1,强,21
2022/2/5,-5,3,24,西北风,2,强,11
2022/2/6,-5,6,26,西风,1,最弱,18
2022/2/7,-5,6,33,西北风,1,最弱,33
2022/2/8,-5,8,37,北风,1,强,51
2022/2/9,-5,7,42,北风,2,强,82
2022/2/10,-3,10,38,西北风,1,强,95
2022/2/11,-3,8,53,东南风,2,最弱,78
2022/2/12,-2,1,60,东风,2,最弱,69
2022/2/13,-6,-3,88,西北风,1,最弱,60
2022/2/14,-10,-1,40,北风,2,强,16
2022/2/15,-10,-2,35,西北风,2,强,24
2022/2/16,-9,0,56,北风,2,强,48
2022/2/17,-7,0,59,南风,1,最弱,43
2022/2/18,-6,4,21,西北风,3,最弱,24
2022/2/19,-9,1,20,西北风,3,强,23
2022/2/20,-7,4,44,西风,2,强,28
2022/2/21,-8,4,32,西北风,3,强,11
2022/2/22,-7,4,76,东北风,3,弱,34
2022/2/23,-6,7,31,西风,1,强,39
2022/2/24,-5,11,41,西风,1,强,108
2022/2/25,0,14,36,北风,2,强,149
2022/2/26,-2,12,24,西风,2,强,24
2022/2/27,-2,16,35,东北风,1,强,74
2022/2/28,-1,12,27,西北风,3,最弱,35
2022/3/1,-1,11,23,西南风,2,强,35
2022/3/2,0,16,25,北风,1,强,25
2022/3/3,0,11,33,西南风,1,强,68
2022/3/4,-1,11,18,西北风,1,强,19
2022/3/5,-2,10,18,东南风,1,强,26
2022/3/6,-1,11,35,东北风,2,弱,60
2022/3/7,2,18,16,东南风,2,强,19
2022/3/8,2,16,34,北风,1,强,117
2022/3/9,4,17,64,西北风,2,最弱,183
2022/3/10,7,19,52,北风,1,强,200
2022/3/11,5,12,26,东南风,1,最弱,48
2022/3/12,5,13,56,南风,1,最弱,87
2022/3/13,4,11,51,南风,2,最弱,49
2022/3/14,5,20,46,东南风,2,强,64
2022/3/15,6,15,55,东北风,1,强,95
2022/3/16,2,12,59,南风,2,最弱,53
2022/3/17,-2,3,83,东风,2,最弱,41
2022/3/18,-2,2,94,北风,1,最弱,84
2022/3/19,-1,6,63,南风,2,最弱,42
2022/3/20,1,10,29,西风,2,强,47
2022/3/21,1,12,23,东北风,2,最弱,17
2022/3/22,1,9,66,南风,1,强,53
2022/3/23,3,12,71,东北风,1,中等,104
2022/3/24,7,9,92,北风,1,最弱,120
2022/3/25,6,14,34,西北风,1,最弱,24
2022/3/26,3,20,18,西北风,4,强,36
2022/3/27,6,16,28,东南风,1,强,52
2022/3/28,9,18,67,西风,1,弱,73
2022/3/29,6,12,83,东北风,1,最弱,78
2022/3/30,3,10,66,东北风,2,最弱,29
2022/3/31,2,15,32,东风,1,强,16
2022/4/1,4,15,29,东南风,2,弱,56
2022/4/2,4,19,22,西南风,2,强,31
2022/4/3,9,20,55,东风,3,强,55
2022/4/4,10,22,58,西南风,2,强,89
2022/4/5,7,24,35,东南风,2,强,85
2022/4/6,4,14,28,南风,3,中等,43
2022/4/7,9,24,31,南风,1,弱,72
2022/4/8,12,25,33,南风,1,强,126
2022/4/9,11,26,43,东南风,1,强,69
2022/4/10,14,26,49,东北风,2,弱,140
2022/4/11,14,28,14,西北风,2,最弱,59
2022/4/12,14,23,95,西北风,1,最弱,36
2022/4/13,3,16,55,东北风,1,最弱,63
2022/4/14,8,21,32,东北风,2,最弱,24
2022/4/15,6,19,23,西北风,2,强,37
2022/4/16,11,23,27,西风,2,强,73
2022/4/17,9,21,46,北风,2,最弱,85
2022/4/18,10,23,43,南风,2,强,114
2022/4/19,8,24,20,西风,1,强,30
2022/4/20,17,29,38,南风,3,强,72
2022/4/21,16,31,51,东南风,2,强,51
2022/4/22,10,25,49,北风,1,最弱,116
2022/4/23,15,29,57,西南风,1,强,101
2022/4/24,14,27,58,东风,2,弱,80
2022/4/25,18,29,75,东风,2,弱,119
2022/4/26,2,15,60,西北风,2,强,12
2022/4/27,8,13,82,北风,1,最弱,33
2022/4/28,8,14,65,南风,2,最弱,33
2022/4/29,11,20,28,北风,1,最弱,55
2022/4/30,9,22,15,西北风,3,强,10
2022/5/1,11,26,46,东北风,1,中等,36
2022/5/2,12,26,25,南风,2,强,40
2022/5/3,16,31,16,东北风,1,强,8
2022/5/4,19,33,19,南风,3,中等,39
