时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2020/1/1,-10,1,43,东北风,1,强,62
2020/1/2,-9,3,55,西北风,1,最弱,100
2020/1/3,-8,6,65,北风,1,强,106
2020/1/4,-5,8,62,北风,2,强,71
2020/1/5,-5,3,97,东北风,1,最弱,67
2020/1/6,-2,3,62,北风,1,强,67
2020/1/7,-2,2,30,北风,3,最弱,23
2020/1/8,-5,5,66,北风,2,强,39
2020/1/9,-6,5,56,北风,1,强,112
2020/1/10,-6,6,34,北风,2,强,35
2020/1/11,-5,1,43,北风,2,最弱,30
2020/1/12,-7,3,32,北风,1,强,21
2020/1/13,-7,2,36,北风,3,强,21
2020/1/14,-8,1,43,北风,2,强,37
2020/1/15,-9,3,50,西北风,1,强,121
2020/1/16,-7,2,67,北风,2,最弱,120
2020/1/17,-7,3,59,西北风,1,最弱,221
2020/1/18,-7,3,27,西风,1,最弱,41
2020/1/19,-4,6,31,西北风,3,强,29
2020/1/20,-4,5,30,西北风,2,强,29
2020/1/21,-7,5,66,东北风,1,最弱,70
2020/1/22,-5,6,71,北风,1,强,125
2020/1/23,-3,8,79,北风,2,强,130
2020/1/24,-6,3,70,南风,2,最弱,160
2020/1/25,-6,5,75,北风,1,强,260
2020/1/26,-5,5,78,东北风,1,中等,293
2020/1/27,-4,4,69,北风,1,最弱,232
2020/1/28,-4,5,68,东北风,1,最弱,257
2020/1/29,-4,7,64,北风,1,中等,65
2020/1/30,-4,6,60,西南风,1,强,70
2020/1/31,-6,7,23,西北风,2,强,23
2020/2/1,-5,5,60,北风,2,强,22
2020/2/2,-3,3,37,西风,2,最弱,20
2020/2/3,-7,3,60,西南风,2,强,64
2020/2/4,-6,1,35,东北风,3,强,13
2020/2/5,-8,-2,90,东风,2,最弱,23
2020/2/6,-6,-1,86,东风,2,最弱,71
2020/2/7,-9,3,88,北风,1,中等,115
2020/2/8,-6,6,76,北风,2,强,136
2020/2/9,-6,10,89,北风,1,强,213
2020/2/10,-4,10,89,东北风,1,强,228
2020/2/11,-4,11,93,北风,1,弱,206
2020/2/12,-2,11,95,北风,1,强,248
2020/2/13,-2,9,96,东北风,2,中等,267
2020/2/14,-2,0,47,东北风,3,最弱,15
2020/2/15,-7,0,36,西北风,4,强,22
2020/2/16,-4,4,36,北风,4,强,21
2020/2/17,-5,8,66,西北风,3,强,19
2020/2/18,-5,10,74,东北风,2,强,46
2020/2/19,-4,9,87,东风,2,强,165
2020/2/20,-4,6,90,东南风,1,最弱,157
2020/2/21,-3,11,32,西北风,2,最弱,65
2020/2/22,-2,10,26,西风,3,强,24
2020/2/23,-3,11,65,西北风,1,强,85
2020/2/24,0,10,35,东北风,2,最弱,57
2020/2/25,3,9,50,南风,2,最弱,67
2020/2/26,-2,9,53,南风,2,强,57
2020/2/27,-2,5,48,南风,3,最弱,47
2020/2/28,-3,9,81,南风,2,强,127
2020/2/29,0,5,1,东风,2,最弱,76
2020/3/1,0,11,58,北风,3,强,15
2020/3/2,-3,11,1,南风,2,强,75
2020/3/3,-1,8,25,西北风,3,强,22
2020/3/4,-3,7,32,北风,2,强,33
2020/3/5,-2,10,55,南风,3,强,77
2020/3/6,-2,10,83,北风,2,中等,140
2020/3/7,1,14,77,东北风,2,强,157
2020/3/8,1,10,93,东北风,2,最弱,125
2020/3/9,5,11,83,东南风,2,最弱,44
2020/3/10,-1,12,49,西北风,3,强,21
2020/3/11,-4,14,52,南风,1,强,73
2020/3/12,1,14,24,东北风,3,最弱,23
2020/3/13,-2,10,37,西北风,3,强,55
2020/3/14,-1,15,24,西北风,3,强,51
2020/3/15,3,17,65,东北风,2,强,56
2020/3/16,0,15,63,东南风,2,最弱,73
2020/3/17,3,20,30,西风,2,强,141
2020/3/18,3,23,29,西北风,3,最弱,34
2020/3/19,5,17,28,西北风,3,强,53
2020/3/20,4,24,27,西北风,2,弱,72
2020/3/21,7,18,37,东南风,2,中等,63
2020/3/22,3,22,52,西南风,2,强,60
2020/3/23,7,23,41,东风,2,强,32
2020/3/24,6,17,57,东南风,2,强,109
2020/3/25,5,22,51,东南风,2,强,109
2020/3/26,6,12,28,北风,4,最弱,23
2020/3/27,2,13,23,西北风,3,强,23
2020/3/28,-1,14,26,西南风,2,强,40
2020/3/29,2,17,47,南风,2,强,96
2020/3/30,5,18,56,西南风,3,最弱,89
2020/3/31,7,20,61,东风,3,最弱,60
2020/4/1,7,15,51,东北风,3,最弱,27
2020/4/2,3,20,35,西风,2,强,51
2020/4/3,7,24,35,西北风,2,强,53
2020/4/4,9,18,36,东南风,3,强,78
2020/4/5,4,19,29,南风,2,强,63
2020/4/6,6,23,63,东南风,2,弱,111
2020/4/7,9,18,39,东南风,2,最弱,57
2020/4/8,5,17,46,东南风,2,强,68
2020/4/9,7,12,56,南风,2,最弱,54
2020/4/10,4,17,45,西风,2,中等,54
2020/4/11,6,22,17,北风,2,强,38
2020/4/12,10,23,40,北风,3,强,92
2020/4/13,6,26,35,南风,2,强,67
2020/4/14,10,26,37,南风,2,最弱,75
2020/4/15,11,26,92,南风,3,最弱,99
2020/4/16,11,21,71,西北风,3,强,70
2020/4/17,8,22,55,北风,3,强,38
2020/4/18,13,23,40,东南风,2,最弱,51
