时间,最低温度,最高温度,湿度,风向,风力,紫外线,空气质量
2020/1/1,2,7,94,东风,2,最弱,92
2020/1/2,5,8,86,北风,2,最弱,141
2020/1/3,4,7,97,北风,2,最弱,115
2020/1/4,6,11,93,东北风,1,弱,173
2020/1/5,7,10,97,东风,2,最弱,64
2020/1/6,4,9,92,北风,3,最弱,22
2020/1/7,2,7,88,北风,3,最弱,55
2020/1/8,0,7,93,东北风,3,中等,61
2020/1/9,2,3,97,北风,3,最弱,47
2020/1/10,1,3,93,北风,2,最弱,46
2020/1/11,-1,7,97,西北风,2,最弱,84
2020/1/12,-2,8,97,东风,1,强,165
2020/1/13,-2,9,88,东北风,2,中等,90
2020/1/14,0,9,59,东北风,3,弱,136
2020/1/15,1,3,95,东北风,3,最弱,86
2020/1/16,0,4,91,北风,3,最弱,87
2020/1/17,-2,7,96,北风,2,强,111
2020/1/18,-1,8,85,北风,1,强,74
2020/1/19,-1,11,95,西北风,2,强,170
2020/1/20,-1,12,83,东南风,1,弱,196
2020/1/21,4,8,90,东风,2,最弱,135
2020/1/22,2,6,91,北风,2,最弱,104
2020/1/23,3,7,96,北风,2,最弱,106
2020/1/24,5,7,94,北风,3,最弱,49
2020/1/25,3,5,89,北风,3,最弱,61
2020/1/26,1,4,81,北风,3,最弱,81
2020/1/27,1,6,92,北风,3,最弱,97
2020/1/28,-2,9,91,西北风,2,中等,90
2020/1/29,-1,12,94,西风,2,强,87
2020/1/30,1,13,95,西北风,2,强,96
2020/1/31,0,13,93,东风,2,强,117
2020/2/1,1,13,79,东南风,3,最弱,102
2020/2/2,5,12,85,东北风,2,最弱,65
2020/2/3,3,12,93,东北风,2,中等,121
2020/2/4,1,14,94,东南风,2,强,69
2020/2/5,2,15,76,东风,2,强,183
2020/2/6,3,9,92,东北风,3,最弱,20
2020/2/7,3,8,84,北风,2,最弱,47
2020/2/8,2,10,96,东北风,2,强,51
2020/2/9,2,13,97,西风,1,强,66
2020/2/10,3,10,89,南风,2,最弱,61
2020/2/11,5,13,93,东南风,2,最弱,38
2020/2/12,6,14,96,东南风,1,最弱,38
2020/2/13,12,18,97,东南风,2,最弱,37
2020/2/14,4,16,89,东北风,3,中等,42
2020/2/15,-2,4,93,西北风,5,中等,30
2020/2/16,-2,7,95,北风,2,中等,39
2020/2/17,-3,13,92,西北风,2,强,30
2020/2/18,-1,14,59,东南风,2,强,47
2020/2/19,3,14,94,东南风,2,最弱,59
2020/2/20,2,17,75,东风,3,强,47
2020/2/21,7,15,83,北风,2,最弱,80
2020/2/22,3,17,54,东风,2,强,80
2020/2/23,8,18,88,东南风,3,中等,82
2020/2/24,11,25,87,南风,3,最弱,59
2020/2/25,12,22,93,北风,3,强,120
2020/2/26,11,16,75,东北风,3,最弱,44
2020/2/27,8,13,97,东北风,3,最弱,49
2020/2/28,6,10,97,北风,2,最弱,30
